State,FI % (april 23 - may 5)
AL,24.93393778
AK,23.24372305
AZ,22.03693606
AR,26.91196071
CA,22.43790703
CO,20.61171478
CT,20.22001509
DE,28.23628325
DC,29.37667658
FL,22.84632799
GA,27.44557241
HI,19.51118453
ID,22.49923805
IL,24.95280783
IN,24.31871531
IA,20.92993616
KS,19.16428529
KY,27.52905035
LA,36.4722312
ME,14.32491288
MD,23.2916113
MA,18.61740099
MI,22.98982564
MN,22.39027563
MS,25.78702589
MO,24.44001886
MT,22.44555782
NE,26.16303149
NV,22.8628238
NH,13.42683949
NJ,25.29499037
NM,19.79385005
NY,21.99892633
NC,17.75302078
ND,12.74029645
OH,28.87298872
OK,21.96103293
OR,17.60741008
PA,24.1773333
RI,15.7549771
SC,24.17789999
SD,16.11287159
TN,26.5417567
TX,28.09510986
UT,20.40544625
VT,15.45480002
VA,21.02759236
WA,20.28376769
WV,19.62111037
WI,20.45241675
WY,16.05750686
