State,week 18 (october 28 - november 9),Column1,week 19 (november 11 - november 23),Column2,week 20 (november 25 - december 7),Column3,october 28 - december 7 overall,Column4,Column5
,Households with Food Insufficiency in the last 7 days (often not enough to eat),Total (including housholds that did not report),Households with Food Insufficiency in the last 7 days (often not enough to eat),Total (including housholds that did not report),Households with Food Insufficiency in the last 7 days (often not enough to eat),Total (including housholds that did not report),FI households sum of 3 weeks,Total # of households sum of 3 weeks,Percentage (M/N x 100)
AL,"78,804","1,952,675","126,938","1,941,610","113,617","1,946,707","319,359","5,840,992",5.467547293
AK,"13,821","235,589","13,552","249,389","26,855","237,279","54,228","722,257",7.508130762
AZ,"131,729","2,609,889","75,264","2,761,072","270,121","2,770,600","477,114","8,141,561",5.860227541
AR,"76,957","1,103,267","52,045","1,256,642","78,844","1,236,501","207,846","3,596,410",5.77926321
CA,"663,276","15,811,633","734,005","15,332,426","468,309","15,634,922","1,865,590","46,778,981",3.988094568
CO,"62,231","2,154,231","125,098","1,922,487","99,654","1,875,978","286,983","5,952,696",4.821059231
CT,"49,162","1,307,773","78,242","1,236,426","52,231","1,218,899","179,635","3,763,098",4.773593459
DE,"34,259","368,632","14,338","353,198","15,231","386,878","63,828","1,108,708",5.756971177
DC,"13,335","205,252","9,825","199,236","5,699","193,769","28,859","598,257",4.823846608
FL,"375,291","8,732,074","672,760","9,089,892","740,349","8,949,226","1,788,400","26,771,192",6.680315169
GA,"231,385","3,849,299","357,951","4,056,419","230,365","4,119,402","819,701","12,025,120",6.816572309
HI,"10,830","535,457","14,104","450,432","38,712","567,544","63,646","1,553,433",4.09711909
ID,"29,041","583,664","25,305","594,079","22,036","569,254","76,382","1,746,997",4.37218839
IL,"88,292","3,974,726","221,707","4,914,196","174,102","4,513,336","484,101","13,402,258",3.612085367
IN,171105,"2,396,637","131,446","2,572,143","117,240","2,474,313","419,791","7,443,093",5.640007454
IA,"37,082","1,018,593","42,234","1,095,330","46,266","974,766","125,582","3,088,689",4.065867428
KS,"44,751","1,046,139","55,169","975,599","22,976","1,004,085","122,896","3,025,823",4.06157267
KY,"102,256","1,556,536","75,839","1,709,904","113,991","1,664,571","292,086","4,931,011",5.923450587
LA,"165,796","1,745,356","113,673","1,713,973","92,918","1,860,396","372,387","5,319,725",7.000117487
ME,"17,881","461,333","38,284","467,357","14,528","450,351","70,693","1,379,041",5.126243527
MD,"164,229","2,245,197","99,091","2,102,203","140,941","2,170,939","404,261","6,518,339",6.201902049
MA,"81,671","2,273,349","125,514","2,353,570","106,774","2,225,653","313,959","6,852,572",4.581622783
MI,"176,266","3,440,261","200,218","3,796,666","181,279","3,592,458","557,763","10,829,385",5.150458683
MN,"84,134","1,553,351","50,100","1,717,884","120,102","1,681,262","254,336","4,952,497",5.13551043
MS,"104,826","1,255,877","100,209","1,368,325","66,937","1,295,457","271,972","3,919,659",6.938664818
MO,"136,507","2,224,612","87,215","1,938,021","101,642","2,108,021","325,364","6,270,654",5.188677289
MT,"9,817","357,861","14,278","368,291","40,383","389,434","64,478","1,115,586",5.779742664
NE,"36,783","676,836","29,406","657,826","33,067","716,605","99,256","2,051,267",4.838765504
NV,"61,769","1,271,142","25,774","1,264,966","58,814","1,262,476","146,357","3,798,584",3.852935726
NH,"10,451","409,402","22,775","450,517","17,567","460,788","50,793","1,320,707",3.845894661
NJ,"55,726","3,274,721","81,775","3,287,295","137,307","3,289,114","274,808","9,851,130",2.789608908
NM,"39,139","842,591","24,492","872,877","44,941","979,082","108,572","2,694,550",4.029318439
NY,"326,074","7,662,023","417,041","7,549,041","235,786","7,411,211","978,901","22,622,275",4.327155425
NC,"176,809","4,216,559","138,544","4,162,090","355,183","3,893,944","670,536","12,272,593",5.463686443
ND,"14,990","207,184","12,463","223,555","14,358","236,358","41,811","667,097",6.267604261
OH,"181,563","3,969,036","157,565","3,966,282","206,411","3,814,840","545,539","11,750,158",4.642822675
OK,"82,248","1,678,214","100,826","1,585,679","94,300","1,568,240","277,374","4,832,133",5.740197962
OR,"47,151","1,400,879","106,083","1,461,995","82,210","1,546,952","235,444","4,409,826",5.339076871
PA,"239,580","4,111,746","211,450","4,960,969","271,755","4,511,750","722,785","13,584,465",5.320673284
RI,"13,371","375,299","29,798","390,641","21,667","384,783","64,836","1,150,723",5.634370739
SC,"241,198","1,907,561","198,725","2,141,337","122,296","2,083,245","562,219","6,132,143",9.168393496
SD,"5,556","276,017","14,964","293,715","16,781","261,170","37,301","830,902",4.489217742
TN,"73,397","2,562,228","99,910","2,526,496","184,187","2,680,716","357,494","7,769,440",4.601284005
TX,"482,724","11,653,758","566,784","11,645,497","798,307","11,764,412","1,847,815","35,063,667",5.269885206
UT,"48,458","954,733","30,772","961,283","73,134","997,992","152,364","2,914,008",5.228674733
VT,"8,184","202,172","4,108","179,630","10,269","200,620","22,561","582,422",3.873651751
VA,"60,265","3,020,524","90,857","2,993,017","87,405","2,742,914","238,527","8,756,455",2.724013314
WA,"83,258","2,317,814","135,452","2,579,809","120,291","2,334,734","339,001","7,232,357",4.687282445
WV,"49,359","667,775","47,649","710,984","30,653","686,346","127,661","2,065,105",6.181816421
WI,"185,941","1,940,053","78,893","1,931,956","20,491","1,862,623","285,325","5,734,632",4.975471835
WY,"3,782","203,354","15,874","204,317","5,104","184,453","24,760","592,124",4.181556566
