State,Unemployment Rate,Rank
New Jersey,10.2,51
Hawaii,10.1,49
Nevada,10.1,49
New York,8.4,48
Louisiana,8.3,47
California,8.2,45
Connecticut,8.2,45
Alaska,8.1,43
Texas,8.1,43
Arizona,7.8,42
District of Columbia,7.5,40
New Mexico,7.5,40
Rhode Island,7.3,39
Illinois,6.9,37
Michigan,6.9,37
Maryland,6.8,36
Massachusetts,6.7,35
Pennsylvania,6.6,34
Colorado,6.4,31
Florida,6.4,31
Mississippi,6.4,31
Arkansas,6.2,28
North Carolina,6.2,28
West Virginia,6.2,28
Oregon,6,26
Washington,6,26
Oklahoma,5.9,25
Georgia,5.7,23
Ohio,5.7,23
Kansas,5.6,21
Kentucky,5.6,21
Tennessee,5.3,20
Delaware,5.1,18
Wyoming,5.1,18
Indiana,5,15
Maine,5,15
Wisconsin,5,15
Montana,4.9,13
Virginia,4.9,13
Idaho,4.8,12
North Dakota,4.5,11
Alabama,4.4,7
Minnesota,4.4,7
Missouri,4.4,7
South Carolina,4.4,7
Utah,4.3,6
New Hampshire,3.8,5
Iowa,3.6,4
South Dakota,3.5,3
Nebraska,3.1,1
Vermont,3.1,1
